Device Id	Operator	Recipe
RD_NP_b05_NiOx_6_a	RD	Light.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.085000	1.0000	1.0000	0	-0.1500	1.2500	100	1	1000	0	1	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.05769046	0.00163848	19.27622056	0.00144563	0.82472485	1.19224700	68.7966	14.0264	87.767932	21667.046	0.00153512	NaN	NaN	NaN	7.985	18:51:03	05/05/2021

Vmeas	Imeas
1.25000000	-0.00308381
1.23585000	-0.00276919
1.22170000	-0.00246678
1.20760000	-0.00218749
1.19345000	-0.00192408
1.17930000	-0.00167602
1.16515000	-0.00144086
1.15100000	-0.00121859
1.13685000	-0.00100672
1.12275000	-0.00081115
1.10860000	-0.00061831
1.09445000	-0.00043369
1.08030000	-0.00025571
1.06615000	-0.00008787
1.05200000	0.00007589
1.03790000	0.00022521
1.02375000	0.00037154
1.00960000	0.00051054
0.99545000	0.00063968
0.98130000	0.00075803
0.96715000	0.00085289
0.95305000	0.00095321
0.93890000	0.00104399
0.92475000	0.00112837
0.91060000	0.00119817
0.89645000	0.00125757
0.88230000	0.00130562
0.86820000	0.00134872
0.85405000	0.00138495
0.83990000	0.00141729
0.82575000	0.00144317
0.81160000	0.00146715
0.79745000	0.00148736
0.78335000	0.00150570
0.76920000	0.00151803
0.75505000	0.00153058
0.74090000	0.00154086
0.72675000	0.00154888
0.71265000	0.00155566
0.69850000	0.00156174
0.68435000	0.00156820
0.67020000	0.00157166
0.65605000	0.00157703
0.64190000	0.00157989
0.62780000	0.00158350
0.61365000	0.00158621
0.59950000	0.00158935
0.58535000	0.00157060
0.57120000	0.00159189
0.55705000	0.00159728
0.54295000	0.00159885
0.52880000	0.00159997
0.51465000	0.00160238
0.50050000	0.00160496
0.48635000	0.00160655
0.47220000	0.00160868
0.45810000	0.00161006
0.44395000	0.00161282
0.42980000	0.00161367
0.41565000	0.00161531
0.40150000	0.00161617
0.38735000	0.00161745
0.37325000	0.00161779
0.35910000	0.00161992
0.34495000	0.00161968
0.33080000	0.00162258
0.31665000	0.00162267
0.30250000	0.00162348
0.28840000	0.00162395
0.27425000	0.00162503
0.26010000	0.00162545
0.24595000	0.00162694
0.23180000	0.00162791
0.21770000	0.00162875
0.20355000	0.00162996
0.18940000	0.00163045
0.17525000	0.00163196
0.16110000	0.00163111
0.14695000	0.00163219
0.13285000	0.00163227
0.11870000	0.00163483
0.10455000	0.00163370
0.09040000	0.00163568
0.07625000	0.00163623
0.06210000	0.00163642
0.04800000	0.00163610
0.03385000	0.00163683
0.01970000	0.00163705
0.00555000	0.00163890
-0.00860000	0.00163955
-0.02275000	0.00163834
-0.03685000	0.00163970
-0.05100000	0.00163977
-0.06515000	0.00164199
-0.07930000	0.00164210
-0.09345000	0.00164211
-0.10760000	0.00164313
-0.12170000	0.00164426
-0.13585000	0.00164311
-0.15000000	0.00164558
