Start, ,FF(au,PCE(a
15:05,Sep/1,  ,-5.16
 Pmp(, Vmp(,Imp(A,Jsc(A
7.867,8.741,9.000,-5.88
Voc(V, Ioc(, Vsc(,Isc(A
3.047,8.108,0.000,-5.00
 , , , 
Time(,Volta,Curre,Power
1.000,0.000,-5.00,-0.00
,1.172,-4.81,-5.63
,2.344,-4.62,-1.08
,3.516,-4.43,-1.55
,4.688,-4.24,-1.98
,5.860,-4.05,-2.37
,7.032,-3.86,-2.71
,8.204,-3.67,-3.01
,9.375,-3.48,-3.26
,1.054,-3.29,-3.47
,1.171,-3.10,-3.64
,1.289,-2.91,-3.76
,1.406,-2.72,-3.83
,1.523,-2.54,-3.87
,1.640,-2.35,-3.85
,1.757,-2.16,-3.80
,1.875,-1.97,-3.70
,1.993,-1.78,-3.55
,2.110,-1.59,-3.36
,2.227,-1.40,-3.13
,2.344,-1.21,-2.85
,2.461,-1.02,-2.52
,2.578,-8.37,-2.16
,2.696,-6.48,-1.74
,2.813,-4.59,-1.29
,2.930,-2.70,-7.92
,3.047,-8.10,-2.47
,3.165,1.081,3.421
,3.282,2.972,9.758
,3.399,4.864,1.653
,3.516,6.756,2.376
,3.633,8.648,3.142
,3.751,1.054,3.953
,3.868,1.243,4.809
,3.985,1.432,5.708
,4.102,1.621,6.652
,4.219,1.810,7.641
,4.336,2.000,8.673
,4.454,2.189,9.752
,4.572,2.378,1.087
,4.689,2.567,1.204
,4.806,2.756,1.325
,4.923,2.945,1.450
,5.040,3.135,1.580
,5.158,3.324,1.714
,5.275,3.513,1.853
,5.392,3.702,1.996
,5.509,3.891,2.144
,5.643,4.081,2.303
,5.761,4.270,2.460
,5.878,4.459,2.621
,5.995,4.648,2.787
,6.112,4.837,2.957
,6.247,5.027,3.140
,6.364,5.216,3.319
,6.481,5.405,3.503
,6.598,5.594,3.691
,6.715,5.783,3.884
,6.849,5.972,4.091
,6.967,6.162,4.293
,7.084,6.351,4.499
,7.201,6.540,4.710
,7.318,6.729,4.925
,7.435,6.918,5.144
,7.553,7.108,5.368
,7.670,7.297,5.597
,7.804,7.486,5.842
,7.921,7.675,6.080
,8.038,7.864,6.322
,8.155,8.054,6.568
,8.273,8.243,6.819
,8.390,8.432,7.074
,8.507,8.621,7.334
,8.624,8.810,7.598
,8.741,9.000,7.867
